logg,log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.0,4.9,0.496,0.00013,0.03854,CO,1.687,0.0,0.0,0.5219,6.438,6.2492,6.8084,5.7128,6.1692,6.7368,7.1206,7.4946,6.2391,6.7428,7.1464,7.4426,7.6594,4.9297,6.1762,6.5038,6.6558,6.8546,7.2954,7.4292,7.5411,4.1483,4.8326,79432.82347242821,69965122.47428964,136310114.99748552,24799864.20540541,200896351.41544262,195085113.91241917,53323180.7536809,20913996.85985638,8946190.574115286,169881869.11204162,52541023.82107522,20043242.12060178,10084123.025622768,6510040.154894401
7.0,4.88,0.488,0.00015,0.038093,CO,1.6,0.0,0.0,0.7389,6.5119,6.3245,6.8787,5.7917,6.2445,6.8092,7.1915,7.5655,6.3137,6.8152,7.2167,7.5135,7.7297,5.0078,6.2515,6.5762,6.7282,6.9255,7.3657,7.4981,7.6092,4.2364,4.9165,75857.75750291836,66904397.78701719,130179066.04243527,23793721.28426645,191225196.81860155,186310443.1271986,51060976.32784891,20054419.979816657,8578497.17559999,162345441.2336475,50312001.94080085,19230077.74158392,9669659.971698359,6245924.56281188
7.0,4.86,0.481,0.00017,0.037625,CO,1.514,0.0,0.0,0.9547,6.5787,6.3918,6.9447,5.8633,6.3113,6.8737,7.2562,7.6287,6.3798,6.8797,7.2827,7.5767,7.7937,5.0793,6.3193,6.6422,6.7927,6.9902,7.4262,7.5612,7.6716,4.3205,4.9934,72443.59600749906,64486974.54148155,125417600.51814437,22950899.235915467,183502697.50653937,179578580.7833291,49320384.175797574,19367226.95692063,8295996.283564511,156580412.94093737,48596941.20302983,18548909.238411296,9351225.69215411,6035789.299720631
7.0,4.84,0.475,0.00017,0.037147,CO,1.428,0.0,0.0,1.1694,6.6462,6.4604,7.0089,5.9357,6.3786,6.9406,7.3216,7.6944,6.4464,6.9467,7.3482,7.6424,7.8584,5.1517,6.3879,6.7089,6.8597,7.0554,7.4837,7.6256,7.7332,4.4066,5.0728,69183.09709189362,62169521.93052543,120788062.00336786,22193471.092206165,176111606.3645885,173157003.0664024,47574252.84915326,18707379.975882333,8011135.444768528,151078602.77953228,46872105.26132992,17915292.441506214,9030131.286685908,5833908.273374911
7.0,4.82,0.468,0.00017,0.036662,CO,1.343,0.0,0.0,1.3835,6.7213,6.5361,7.0827,6.0163,6.4548,7.0131,7.3941,7.7663,6.5221,7.0199,7.4195,7.7143,7.9303,5.2323,6.4654,6.7827,6.9329,7.1273,7.5643,7.6944,7.8045,4.4985,5.1578,66069.34480075965,59559729.02276612,115653611.41935696,21287291.99134747,167866163.07499382,165720122.64623034,45686423.56797195,17965038.529036455,7697492.242130442,144656563.9835861,44983127.37532879,17223407.90682325,8676593.474658515,5605505.484859704
7.0,4.8,0.462,0.00015,0.036157,CO,1.257,0.0,0.0,1.5973,6.7922,6.6067,7.1511,6.0934,6.526,7.0828,7.4628,7.8345,6.5934,7.0888,7.4901,7.7825,7.9968,5.3082,6.5369,6.8526,7.0015,7.1963,7.6339,7.7603,7.8713,4.587,5.241,63095.7344480193,57364107.48206825,111420916.4722482,20549816.347302034,160757295.6105911,159566887.46633038,44050890.23021439,17337867.5393462,7432189.724721211,139272596.64305,43404741.43162391,16593065.017184705,8377545.158797361,5420786.584694019
7.0,4.78,0.455,0.0001,0.035575,CO,1.171,0.0,0.0,1.8124,6.872,6.6888,7.2291,6.1794,6.6069,7.162,7.542,7.9131,6.6748,7.168,7.5681,7.8611,8.076,5.3953,6.6206,6.9329,7.0801,7.2732,7.7103,7.8372,7.9482,4.6844,5.3338,60255.95860743581,55057337.01462734,106714070.836767,19756176.885360334,153414232.77315953,152995174.98887256,42302852.25522355,16649862.127747271,7141209.080030841,133475216.43724413,41682344.087992124,15952236.361120777,8049552.523851409,5205677.633323347
7.0,4.76,0.447,7e-05,0.035035,CO,1.084,0.0,0.0,2.0306,6.9492,6.7656,7.3037,6.2621,6.6846,7.2367,7.6152,7.9847,6.7507,7.2432,7.6412,7.9332,8.1467,5.4765,6.6966,7.0072,7.1552,7.3472,7.7798,7.9082,8.0143,4.7819,5.4219,57543.993733715666,52871395.77472768,102514963.44446018,19017283.45621739,146578821.74422267,146853164.18852392,40716948.6579631,16047826.318904711,6893143.543361004,128329412.96455291,40101231.344571315,15376841.921945876,7766356.325469444,5029013.996728367
7.0,4.74,0.442,8e-05,0.034842,CO,0.998,0.0,0.0,2.2449,7.002,6.8191,7.354,6.3212,6.738,7.288,7.665,8.035,6.805,7.294,7.693,7.9849,8.197,5.5361,6.7501,7.06,7.206,7.3989,7.819,7.9549,8.0629,4.8564,5.4883,54954.08738576248,50921227.77655467,98670050.84443007,18358050.940070022,140355461.7080844,141358327.90522128,39269314.05410717,15498665.538320594,6654193.307765224,123425330.39302403,38693302.537315406,14823311.687520918,7487475.308178839,4854683.653573089
7.0,4.72,0.438,7e-05,0.034676,CO,0.914,0.0,0.0,2.4545,7.0606,6.8806,7.4111,6.3887,6.7986,7.3461,7.7211,8.0911,6.8641,7.3521,7.7491,8.0406,8.2531,5.6027,6.8127,7.1176,7.2636,7.4541,7.8751,8.0096,8.1166,4.9358,5.5622,52480.74602497723,48708755.18782579,94131182.8961316,17584690.742044546,133161132.92604224,134967611.91077852,37580407.019388884,14859440.953001162,6379748.779152416,118008275.17859174,37029168.7874436,14211941.292883512,7181308.228923367,4654457.825250012
