Log(g),log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.5,4.9,0.532,0.00028,0.02157,CO,1.219,12.80517,1.414,1.6929,7.617,7.4251,7.9855,6.8593,7.3501,7.9147,8.2994,8.6753,7.4252,7.9207,8.3264,8.6233,8.8403,6.0763,7.3482,7.6908,7.8346,8.0344,8.4811,8.6189,8.7367,5.3596,5.9973,79432.82347242821,75405796.05597664,147330008.74248725,26775182.103248067,223097744.59161663,209887832.1878589,57527987.029240884,22544477.216359183,9626785.071508804,181898936.98930964,56684153.01113115,21581970.927598678,10851287.394123474,7004010.65034681
7.5,4.88,0.528,0.00035,0.021474,CO,1.135,12.80504,1.31,1.9019,7.6724,7.4812,8.0381,6.9169,7.4066,7.9683,8.3516,8.7268,7.482,7.9743,8.3786,8.6748,8.8914,6.1339,7.4054,7.7455,7.8879,8.0862,8.5312,8.6679,8.7843,5.4314,6.0613,75857.75750291836,72296807.79275452,141164536.74965152,25737527.632314306,213466422.8372868,201030361.97545555,55247619.567358285,21678766.196340695,9263085.410288366,174174492.47694588,54437234.514482625,20753220.28120156,10441326.070614945,6741882.674695519
7.5,4.86,0.523,0.00043,0.021357,CO,1.052,12.80491,1.201,2.1112,7.728,7.5375,8.0909,6.9745,7.4633,8.0222,8.4042,8.7787,7.539,8.0282,8.4312,8.7267,8.9429,6.1915,7.4628,7.8005,7.9415,8.1384,8.5817,8.7174,8.8324,5.5028,6.1251,72443.59600749906,69442368.3311554,135503654.9152395,24785188.60915757,204660944.80698207,192897703.32295826,53149474.23043149,20880455.277960416,8927730.477480676,167082111.8608304,52369865.26588545,19988992.179289065,10063314.852134123,6500198.104402912
7.5,4.84,0.518,0.00054,0.021222,CO,0.968,12.80478,1.087,2.3211,7.7937,7.6049,8.1529,7.0451,7.5301,8.0862,8.4659,8.8396,7.6051,8.0922,8.4928,8.7876,9.0036,6.2622,7.5304,7.8645,8.0042,8.1998,8.6403,8.7741,8.8879,5.5977,6.2062,69183.09709189362,66199147.84015742,128973024.49721782,23708283.020664357,194223980.11425728,183702442.96205357,50746588.036376186,19978728.206348572,8548480.8990784,159220077.46453312,50002225.17058829,19127524.767438263,9635825.701937707,6225216.610772412
7.6,4.9,0.55,0.00034,0.019475,CO,1.133,10.56128,1.81,1.9072,7.8394,7.6466,8.2068,7.0811,7.5711,8.1356,8.5213,8.8966,7.6471,8.1426,8.5468,8.8446,9.0611,6.2976,7.5698,7.9118,8.0555,8.2563,8.7029,8.8407,8.9588,5.5798,6.2187,79432.82347242821,75368537.26253818,147379328.06208673,26789079.480676297,223110771.1668965,210054804.53523368,57579055.328335084,22543717.129371077,9631781.753325695,181892804.26714396,56682241.90506638,21611079.486329857,10856919.641027223,7010873.892048266
7.6,4.88,0.542,0.00043,0.019322,CO,1.047,12.67809,1.66,2.1216,7.9008,7.7096,8.2659,7.1442,7.6344,8.196,8.5798,8.9544,7.7101,8.203,8.6059,8.9021,9.119,6.3613,7.6334,7.9735,8.1153,8.3142,8.7595,8.8961,9.0125,5.6547,6.287,75857.75750291836,72357051.90787572,141282167.56714705,25773213.293325897,213860862.7273513,201309095.09438524,55329317.4184353,21700827.939962476,9277637.733208975,174367803.0673541,54467544.43035486,20791567.75438923,10460619.388283696,6752474.183834155
7.6,4.86,0.538,0.00053,0.019285,CO,0.964,12.80535,1.568,2.3296,7.9473,7.7575,8.3101,7.1923,7.6826,8.2414,8.6235,8.9974,7.7582,8.2484,8.6501,8.9449,9.1622,6.4099,7.682,8.0202,8.1602,8.3573,8.8015,8.9368,9.0517,5.7141,6.3402,72443.59600749906,69589823.16974126,135703865.43361756,24840105.55766939,205379070.30981547,193307304.84419915,53267238.39134913,20924793.111427095,8951633.226560224,167452318.43375582,52437582.98735872,20038818.28201083,10094905.775104016,6514000.710582562
7.6,4.84,0.535,0.00064,0.019232,CO,0.881,12.80524,1.475,2.5377,8.0055,7.8159,8.3646,7.2573,7.7421,8.2976,8.6776,9.0514,7.8179,8.303,8.7045,8.9994,9.2147,6.4738,7.7428,8.0768,8.2165,8.4115,8.8519,8.9866,9.0999,5.8051,6.4167,69183.09709189362,66321771.60638792,129307169.19078076,23754386.73716011,194512076.1437328,184008824.7568982,50859322.12164274,20017579.33784419,8564315.648581838,159368157.1190003,50141006.93540244,19164720.627567604,9653674.590886552,6240770.146015297
7.6,4.82,0.53,0.00077,0.019161,CO,0.798,12.80512,1.375,2.7462,8.0558,7.8675,8.412,7.3083,7.7946,8.3466,8.725,9.098,7.8696,8.3523,8.7516,9.046,9.261,6.5251,7.7956,8.1267,8.265,8.4586,8.8976,9.0309,9.1442,5.8634,6.4708,66069.34480075965,63789423.55529147,124221040.61745669,22908485.665355846,186964489.59103408,176624607.7776222,48975979.02700394,19304747.135347445,8265425.6622910565,153085518.51052317,48270923.77643919,18487366.53047901,9316766.566413688,6024635.079891801
7.6,4.8,0.526,0.00093,0.019074,CO,0.714,12.805,1.272,2.9552,8.1059,7.9188,8.4593,7.359,7.8468,8.3955,8.7723,9.1445,7.921,8.4013,8.7986,9.0925,9.3072,6.5761,7.8481,8.1763,8.3134,8.5056,8.9433,9.0754,9.1885,5.9212,6.5245,63095.7344480193,61469752.25256632,119571574.56211156,22132433.441339057,180066081.34155115,169872858.7935611,47247182.08438587,18650775.84421473,7991310.574620665,147342113.33773777,46562725.70767745,17866020.862460125,9007784.7440003,5826443.393040004
